Folder,Mean_1,Min_1,Max_1,Std_1,Mean_2,Min_2,Max_2,Std_2
Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu,0.62943363,0.55415577,0.6894828,0.051232584,0.5958986,0.5426204,0.632477,0.030081585
Stoln_Adults-Women_Women_Orange_Fashion_Summer_2012_Casual_Handbags_Accessories_Bags,0.6004969,0.52937704,0.72180736,0.075155735,0.42187276,0.2669584,0.65835893,0.14596617
Wildcraft_Adults-Unisex_Unisex_Olive_Fashion_Winter_2015_Casual_Casual_Medium_NA_Leather_Drawstring_,0.5193107,0.43087664,0.58795047,0.059940487,0.4753244,0.44556347,0.5088878,0.020281188
Fabindia_Adults-Women_Women_Cream_Fashion_Summer_2012_Ethnic_Printed_Daily_Without_Blouse_Piece_Ethn,0.48960632,0.38032058,0.5546494,0.06630168,0.5151382,0.40637362,0.6188138,0.06788324
Catwalk_Adults-Women_Women_Gold_Fashion_Winter_2015_Casual_Sandals_Open_Toe_Ankle_Loop_Casual_Block_,0.46407112,0.35011017,0.54583865,0.06464396,0.45257917,0.36084813,0.57331085,0.08245224
Titan_Adults-Women_Women_Maroon_Fashion_Winter_2016_Casual_30_m_Analogue_Watches_Accessories_Watches,0.43491203,0.38964623,0.51042616,0.050671846,0.33885533,0.26469094,0.41907004,0.0515928
Gini_and_Jony_Kids-Boys_Boys_Navy_Blue_Fashion_Summer_2012_Casual_Regular_Fit_Solid_Garment_Measurem,0.59970033,0.47759482,0.6752379,0.06622157,0.56558496,0.4444362,0.6628703,0.07727732
Franco_Leone_Adults-Men_Men_Black_Fashion_Summer_2012_Formal_Formal_Shoes_Footwear_Shoes,0.5724298,0.44026914,0.64797467,0.074740544,0.46624237,0.37095642,0.55103713,0.067883834
Tonga_Adults-Women_Women_Blue_Fashion_Summer_2012_Casual_Printed_Garment_Measurements_in_Fit_and_Fla,0.5633095,0.34981623,0.68141806,0.11656289,0.62931025,0.5353991,0.70546585,0.055864494
Elle_Adults-Women_Women_Peach_Fashion_Summer_2012_Casual_Regular_Fit_Printed_Garment_Measurements_in,0.5663827,0.40313715,0.6687193,0.096694954,0.5618702,0.40500575,0.6638236,0.08528131
Revlon_Adults-Women_Women_Gold_Core_Spring_2017_Casual_Nail_Polish_Personal_Care_Nails,0.54523385,0.5215678,0.5773646,0.018932974,0.5177694,0.42128035,0.5973202,0.058123477
BOSS_Adults-Men_Men_Silver_Core_Spring_2017_Casual_Perfume_and_Body_Mist_Personal_Care_Fragrance,0.29646915,0.20333785,0.49581528,0.10575909,0.29327923,0.22331372,0.42111385,0.0703794
,0.523446335833333,0.419184118333333,0.613057054166667,0.0705715261666667,0.486143739166667,0.390620541666667,0.5843791125,0.0677555881666667
